Rank,Player,Team,POS,ESPN,Sleeper,NFL,RTSports,AVG
1,Christian McCaffrey,SF,RB1,1,2,2,2,1.8
2,Austin Ekeler,LAC,RB2,4,4,3,6,4.3
3,Ja'Marr Chase,CIN,WR1,7,3,4,4,4.5
4,Tyreek Hill,MIA,WR2,2,6,8,3,4.8
5,Travis Kelce,KC,TE1,6,5,6,9,6.5
6,Stefon Diggs,BUF,WR3,8,7,10,10,8.8
7,Justin Jefferson,MIN,WR4,34,1,1,1,9.3
8,Bijan Robinson,ATL,RB3,19,8,9,5,10.3
9,A.J. Brown,PHI,WR5,5,13,13,16,11.8
10,Saquon Barkley,NYG,RB4,24,9,7,8,12
11,CeeDee Lamb,DAL,WR6,12,11,15,14,13
12,Tony Pollard,DAL,RB5,3,21,18,12,13.5
13,Amon-Ra St. Brown,DET,WR7,11,17,21,11,15
14,Patrick Mahomes II,KC,QB1,15,12,16,18,15.3
15,Davante Adams,LV,WR8,17,14,12,19,15.5
16,Josh Jacobs,LV,RB6,16,19,14,13,15.5
17,Cooper Kupp,LAR,WR9,18,15,5,38,19
18,Jalen Hurts,PHI,QB2,13,23,23,22,20.3
19,Derrick Henry,TEN,RB7,27,16,19,21,20.8
20,Garrett Wilson,NYJ,WR10,30,18,20,20,22
21,Josh Allen,BUF,QB3,22,20,22,25,22.3
22,Travis Etienne Jr.,JAC,RB8,9,30,31,24,23.5
23,Jaylen Waddle,MIA,WR11,25,22,25,26,24.5
24,Chris Olave,NO,WR12,54,24,32,17,31.8
25,Mark Andrews,BAL,TE2,44,26,26,33,32.3
26,Breece Hall,NYJ,RB9,39,39,24,34,34
27,DK Metcalf,SEA,WR13,35,31,34,37,34.3
28,Keenan Allen,LAC,WR14,10,38,52,40,35
29,Rhamondre Stevenson,NE,RB10,57,29,28,27,35.3
30,Jonathan Taylor,IND,RB11,33,45,11,53,35.5
31,Joe Mixon,CIN,RB12,37,36,42,29,36
32,DeVonta Smith,PHI,WR15,69,27,27,23,36.5
33,Kenneth Walker III,SEA,RB13,26,41,50,32,37.3
34,Jahmyr Gibbs,DET,RB14,52,33,37,28,37.5
35,T.J. Hockenson,MIN,TE3,21,47,47,36,37.8
36,Lamar Jackson,BAL,QB4,20,32,35,65,38
37,Deebo Samuel,SF,WR16,63,37,39,35,43.5
38,Justin Herbert,LAC,QB5,36,46,44,49,43.8
39,Calvin Ridley,JAC,WR17,93,34,36,15,44.5
40,Tee Higgins,CIN,WR18,82,25,29,44,45
41,Aaron Jones,GB,RB15,67,40,38,41,46.5
42,Najee Harris,PIT,RB16,100,28,30,31,47.3
43,DeAndre Hopkins,TEN,WR19,43,48,56,50,49.3
44,DJ Moore,CHI,WR20,38,50,43,70,50.3
45,Alvin Kamara,NO,RB17,14,63,68,57,50.5
46,George Kittle,SF,TE4,46,43,46,74,52.3
47,Nick Chubb,CLE,RB18,181,10,17,7,53.8
48,D'Andre Swift,PHI,RB19,31,62,77,46,54
49,Brandon Aiyuk,SF,WR21,40,64,84,30,54.5
50,Joe Burrow,CIN,QB6,108,35,33,47,55.8
51,Trevor Lawrence,JAC,QB7,78,53,49,55,58.8
52,Amari Cooper,CLE,WR22,101,42,45,48,59
53,Terry McLaurin,WAS,WR23,79,51,48,63,60.3
54,Mike Evans,TB,WR24,23,75,81,68,61.8
55,Isiah Pacheco,KC,RB20,32,73,75,71,62.8
56,Miles Sanders,CAR,RB21,120,54,41,42,64.3
57,Justin Fields,CHI,QB8,106,44,40,69,64.8
58,Darren Waller,NYG,TE5,87,52,54,66,64.8
59,Dameon Pierce,HOU,RB22,113,49,64,43,67.3
60,Rachaad White,TB,RB23,62,77,83,52,68.5
61,James Cook,BUF,RB24,65,82,95,39,70.3
62,Tua Tagovailoa,MIA,QB9,56,92,72,62,70.5
63,Michael Pittman Jr.,IND,WR25,74,68,92,51,71.3
64,Dallas Goedert,PHI,TE6,84,58,58,85,71.3
65,Alexander Mattison,MIN,RB25,88,57,94,56,73.8
66,Christian Watson,GB,WR26,115,60,59,61,73.8
67,Kyle Pitts,ATL,TE7,107,59,57,77,75
68,David Montgomery,DET,RB26,49,83,109,60,75.3
69,James Conner,ARI,RB27,116,65,73,54,77
70,Chris Godwin,TB,WR27,94,61,86,67,77
71,Javonte Williams,DEN,RB28,99,78,89,45,77.8
72,San Francisco 49ers,DST,DST1,61,87,62,103,78.3
73,Jerry Jeudy,DEN,WR28,125,72,60,59,79
74,Evan Engram,JAC,TE8,77,76,67,99,79.8
75,Christian Kirk,JAC,WR29,90,71,80,82,80.8
76,Tyler Lockett,SEA,WR30,109,67,76,78,82.5
77,Drake London,ATL,WR31,124,55,69,86,83.5
78,Justin Tucker,BAL,K1,58,91,71,120,85
79,Jordan Addison,MIN,WR32,86,85,102,76,87.3
80,George Pickens,PIT,WR33,98,74,106,73,87.8
