RK,PLAYER NAME,TEAM,POS,ROS-ADP
1,Christian McCaffrey,SF,RB1,0
2,Kyren Williams,LAR,RB2,126
3,Jahmyr Gibbs,DET,RB3,28
4,Bijan Robinson,ATL,RB4,1
5,CeeDee Lamb,DAL,WR1,7
6,Tyreek Hill,MIA,WR2,0
7,A.J. Brown,PHI,WR3,10
8,Amon-Ra St. Brown,DET,WR4,7
9,Tony Pollard,DAL,RB5,7
10,Travis Etienne Jr.,JAC,RB6,13
11,Justin Jefferson,MIN,WR5,-9
12,Rachaad White,TB,RB7,51
13,D'Andre Swift,PHI,RB8,39
14,Mike Evans,TB,WR6,57
15,Brandon Aiyuk,SF,WR7,32
16,Raheem Mostert,MIA,RB9,88
17,Travis Kelce,KC,TE1,-10
18,Breece Hall,NYJ,RB10,15
19,Alvin Kamara,NO,RB11,37
20,Stefon Diggs,BUF,WR8,-10
21,Deebo Samuel,SF,WR9,14
22,David Montgomery,DET,RB12,47
23,DJ Moore,CHI,WR10,30
24,Jonathan Taylor,IND,RB13,24
25,Saquon Barkley,NYG,RB14,-16
26,Derrick Henry,TEN,RB15,-12
27,Michael Pittman Jr.,IND,WR11,38
28,James Cook,BUF,RB16,30
29,Puka Nacua,LAR,WR12,102
30,DK Metcalf,SEA,WR13,4
31,Austin Ekeler,LAC,RB17,-28
32,Josh Allen,BUF,QB1,-14
33,DeVonta Smith,PHI,WR14,-3
34,Josh Jacobs,LV,RB18,-21
35,Kenneth Walker III,SEA,RB19,2
36,Chris Olave,NO,WR15,-12
37,Sam LaPorta,DET,TE2,109
38,Davante Adams,LV,WR16,-19
39,Cooper Kupp,LAR,WR17,-13
40,De'Von Achane,MIA,RB20,72
41,Joe Mixon,CIN,RB21,-13
42,Isiah Pacheco,KC,RB22,32
43,Amari Cooper,CLE,WR18,2
44,Jalen Hurts,PHI,QB2,-24
45,George Kittle,SF,TE3,9
46,Keenan Allen,LAC,WR19,-4
47,Rashee Rice,KC,WR20,127
48,Trey McBride,ARI,TE4,211
49,Garrett Wilson,NYJ,WR21,-28
50,Ja'Marr Chase,CIN,WR22,-46
51,Nico Collins,HOU,WR23,97
52,Javonte Williams,DEN,RB23,3
53,James Conner,ARI,RB24,4
54,Jerome Ford,CLE,RB25,181
55,Chuba Hubbard,CAR,RB26,129
56,Calvin Ridley,JAC,WR24,-24
57,Gus Edwards,BAL,RB27,94
58,Aaron Jones,GB,RB28,-20
59,Zay Flowers,BAL,WR25,26
60,Devin Singletary,HOU,RB29,136
61,Lamar Jackson,BAL,QB3,-21
62,Ty Chandler,MIN,RB30,181
63,Tee Higgins,CIN,WR26,-27
64,Dak Prescott,DAL,QB4,31
65,Ezekiel Elliott,NE,RB31,54
66,Jaylen Warren,PIT,RB32,52
67,DeAndre Hopkins,TEN,WR27,-16
68,Patrick Mahomes II,KC,QB5,-57
69,Najee Harris,PIT,RB33,-44
70,Brock Purdy,SF,QB6,82
71,David Njoku,CLE,TE5,35
72,Khalil Herbert,CHI,RB34,14
73,Terry McLaurin,WAS,WR28,-14
74,Diontae Johnson,PIT,WR29,14
75,Tyler Lockett,SEA,WR30,1
76,Drake London,ATL,WR31,1
77,Evan Engram,JAC,TE6,12
78,Justin Fields,CHI,QB7,-28
79,Tyler Allgeier,ATL,RB35,30
80,C.J. Stroud,HOU,QB8,147
81,Courtland Sutton,DEN,WR32,20
82,Chris Godwin,TB,WR33,-14
83,Tyjae Spears,TEN,RB36,85
84,Brian Robinson Jr.,WAS,RB37,-2
85,Dalton Kincaid,BUF,TE7,26
86,Tua Tagovailoa,MIA,QB9,-13
87,Jaxon Smith-Njigba,SEA,WR34,0
88,George Pickens,PIT,WR35,-10
89,Brandin Cooks,DAL,WR36,21
90,Adam Thielen,CAR,WR37,68
91,Jake Ferguson,DAL,TE8,131
92,D'Onta Foreman,CHI,RB38,89
93,Jaylen Waddle,MIA,WR38,-71
94,Taysom Hill,NO,TE9,95
95,Zach Charbonnet,SEA,RB39,10
96,Jayden Reed,GB,WR39,136
97,Rashid Shaheed,NO,WR40,72
98,Jordan Addison,MIN,WR41,-19
99,Jared Goff,DET,QB10,17
100,Gabe Davis,BUF,WR42,2
101,Kareem Hunt,CLE,RB40,84
102,Antonio Gibson,WAS,RB41,-9
103,Josh Downs,IND,WR43,158
104,AJ Dillon,GB,RB42,-24
105,Roschon Johnson,CHI,RB43,27
106,Matthew Stafford,LAR,QB11,54
107,Jordan Love,GB,QB12,42
108,Jameson Williams,DET,WR44,62
109,Jerry Jeudy,DEN,WR45,-43
110,Dallas Goedert,PHI,TE10,-38
111,Kyler Murray,ARI,QB13,106
112,Christian Watson,GB,WR46,-50
113,Jakobi Meyers,LV,WR47,24
114,Geno Smith,SEA,QB14,10
115,Demario Douglas,NE,WR48,-
116,Rico Dowdle,DAL,RB44,-
117,Romeo Doubs,GB,WR49,12
118,Curtis Samuel,WAS,WR50,138
119,Baker Mayfield,TB,QB15,158
120,Noah Brown,HOU,WR51,-
121,Kenneth Gainwell,PHI,RB45,32
122,Cole Kmet,CHI,TE11,16
123,Zack Moss,IND,RB46,52
124,Trevor Lawrence,JAC,QB16,-75
125,Jaleel McLaughlin,DEN,RB47,-
126,Odell Beckham Jr.,BAL,WR52,0
127,Isaiah Likely,BAL,TE12,135
128,Dalton Schultz,HOU,TE13,15
129,Alexander Mattison,MIN,RB48,-68
130,Zamir White,LV,RB49,98
131,Elijah Moore,CLE,WR53,-18
132,Justice Hill,BAL,RB50,23
133,K.J. Osborn,MIN,WR54,116
134,Kyle Pitts,ATL,TE14,-59
135,Jahan Dotson,WAS,WR55,-51
136,Khalil Shakir,BUF,WR56,150
137,Dameon Pierce,HOU,RB51,-91
138,Samaje Perine,DEN,RB52,-30
139,Jamaal Williams,NO,RB53,-42
140,Miles Sanders,CAR,RB54,-96
141,San Francisco 49ers,SF,DST1,-50
142,Tyler Boyd,CIN,WR57,36
143,Jeff Wilson Jr.,MIA,RB55,-
144,Quentin Johnston,LAC,WR58,-22
145,Dallas Cowboys,DAL,DST2,-49
146,New York Jets,NYJ,DST3,-23
147,Clyde Edwards-Helaire,KC,RB56,67
148,Buffalo Bills,BUF,DST4,-13
149,Marvin Mims Jr.,DEN,WR59,57
150,Gardner Minshew II,IND,QB17,-
151,Elijah Mitchell,SF,RB57,-26
152,Baltimore Ravens,BAL,DST5,5
153,Darius Slayton,NYG,WR60,-
154,Jonathan Mingo,CAR,WR61,48
155,Joshua Palmer,LAC,WR62,-
156,Latavius Murray,BUF,RB58,-
157,Emari Demercado,ARI,RB59,-
158,Derek Carr,NO,QB18,-14
159,Justin Tucker,BAL,K1,-59
160,Michael Wilson,ARI,WR63,109
161,Chase Brown,CIN,RB60,51
162,Pat Freiermuth,PIT,TE15,-64
