RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Christian McCaffrey,SF,RB1
2,1,Justin Jefferson,MIN,WR1
3,1,CeeDee Lamb,DAL,WR2
4,1,Breece Hall,NYJ,RB2
5,1,Tyreek Hill,MIA,WR3
6,2,Bijan Robinson,ATL,RB3
7,2,Jonathan Taylor,IND,RB4
8,2,Ja'Marr Chase,CIN,WR4
9,2,Amon-Ra St. Brown,DET,WR5
10,2,Jahmyr Gibbs,DET,RB5
11,2,Kyren Williams,LAR,RB6
12,3,A.J. Brown,PHI,WR6
13,3,Sam LaPorta,DET,TE1
14,3,Puka Nacua,LAR,WR7
15,3,Travis Etienne Jr.,JAC,RB7
16,3,Brandon Aiyuk,SF,WR8
17,3,DJ Moore,CHI,WR9
18,3,Saquon Barkley,NYG,RB8
19,3,Deebo Samuel,SF,WR10
20,3,De'Von Achane,MIA,RB9
21,4,Garrett Wilson,NYJ,WR11
22,4,Josh Allen,BUF,QB1
23,4,Marvin Harrison Jr.,FA,WR12
24,4,Kenneth Walker III,SEA,RB10
25,4,Jalen Hurts,PHI,QB2
26,4,Chris Olave,NO,WR13
27,4,Rachaad White,TB,RB11
28,4,Isiah Pacheco,KC,RB12
29,4,Lamar Jackson,BAL,QB3
30,4,Nico Collins,HOU,WR14
31,4,Davante Adams,LV,WR15
32,5,James Cook,BUF,RB13
33,5,Mike Evans,TB,WR16
34,5,Patrick Mahomes II,KC,QB4
35,5,DK Metcalf,SEA,WR17
36,5,David Montgomery,DET,RB14
37,5,Josh Jacobs,LV,RB15
38,5,Mark Andrews,BAL,TE2
39,5,Tank Dell,HOU,WR18
40,5,Stefon Diggs,BUF,WR19
41,6,C.J. Stroud,HOU,QB5
42,6,Keenan Allen,LAC,WR20
43,6,James Conner,ARI,RB16
44,6,Michael Pittman Jr.,IND,WR21
45,6,Amari Cooper,CLE,WR22
46,6,Jaylen Waddle,MIA,WR23
47,6,Derrick Henry,TEN,RB17
48,6,Anthony Richardson,IND,QB6
49,6,Rhamondre Stevenson,NE,RB18
50,6,Rashee Rice,KC,WR24
51,6,Alvin Kamara,NO,RB19
52,6,Tee Higgins,CIN,WR25
53,6,Joe Mixon,CIN,RB20
54,6,DeVonta Smith,PHI,WR26
55,6,Dak Prescott,DAL,QB7
56,6,Malik Nabers,FA,WR27
57,6,Tony Pollard,DAL,RB21
